name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor
OnePlus Q2 Pro 65 inch Smart QLED TV,"₹65,999",83,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,70 w Output,"3 GB RAM, 32 GB Storage"
Samsung UA43AU7600KXXL 43 inch Ultra HD 4K Smart LED TV,"₹33,490",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor
Xiaomi Smart TV 5A 32 inch HD Ready Smart LED TV,"₹13,999",49,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A35 64-bit Quad Core Processor, 1 GB RAM, 8 GB Storage"
Sansui JSW55GSQLED 55 inch Ultra HD 4K Smart QLED TV,"₹36,990",74,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 16 GB Storage"
Sony Bravia KD-43X75K 43-inch Ultra HD 4K Smart LED Google TV,"₹46,540",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",‎X1 4K Processor Processor
Samsung UA32T4360 32 inch HD Ready Smart LED TV,"₹17,290",41,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
LG 55UQ8050PSB 55 inch Ultra HD 4K LED Smart TV,"₹60,490",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
OnePlus Y1S Pro 43 inch Ultra HD 4K Smart LED TV,"₹29,999",71,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 8 GB Storage"
Xiaomi Redmi X Pro 65 inch Ultra HD 4K Gaming TV,"₹29,990",62,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,2 Speakers,"A73 chip Processor, 3 GB RAM, 32 GB Storage"
Sony Bravia X80K 55 inch Ultra HD 4K Smart LED TV (KD-55X80K),"₹79,990",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","4K HDR Processor X1 Processor, 16 GB Storage"
Acer AR32AR2841HDFL I Series 32-inch HD Ready Smart LED TV,"₹11,499",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Cortex-A55 x 4 64bit Processor, 1.5 GB RAM, 8 GB Storage"
Vu GloLED 43 inch Ultra HD 4K Smart LED TV (43GloLED),"₹26,999",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"3 Speakers, 84 w Output","Glo A.I Processor, 2 GB RAM, 16 GB Storage"
Samsung UA32T4380AKXXL 32-inch HD Ready Smart LED TV,"₹13,490",37,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output","2 HDMI Ports, 1 USB Ports"
