asin,product_title,category,product_price,product_original_price,currency,discount,product_star_rating,product_num_ratings,product_num_offers,is_prime,is_best_seller,is_amazon_choice,climate_pledge_friendly,product_url,product_photo,delivery,scraped_at,price_inr,original_price_inr,rating,num_ratings
B0FN7QTRPY,"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",smartphone,9999,10999,INR,9.10%,4.2,1550,1,False,False,False,False,https://www.amazon.in/dp/B0FN7QTRPY,https://m.media-amazon.com/images/I/610lbucItmL._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Today 6 pm - 8 pm",05-06-2026,9999.0,10999.0,4.2,1550
B0GFW1BJ1D,"realme C71 4G Smartphone 6GB+128GB,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54, Sea Blue",smartphone,13999,,INR,,3.8,303,1,False,False,False,False,https://www.amazon.in/dp/B0GFW1BJ1D,https://m.media-amazon.com/images/I/61l38sgkFML._AC_UY654_QL65_.jpg,"FREE delivery Mon, 8 Jun",05-06-2026,13999.0,,3.8,303
B0FT7T3GZF,"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",smartphone,10168,10999,INR,7.60%,3.7,137,1,False,False,False,False,https://www.amazon.in/dp/B0FT7T3GZF,https://m.media-amazon.com/images/I/317CVL0zICL._AC_UY462_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Tomorrow 8 am - 12 pmOnly 1 left in stock.",05-06-2026,10168.0,10999.0,3.7,137
B0H1B6WTN3,"realme NARZO 80 Lite 4G (Beach Gold 2026, 4GB+64GB) | 6300mAh Segment&#x27;s Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist",smartphone,11999,16999,INR,29.40%,4.2,2964,1,False,False,False,False,https://www.amazon.in/dp/B0H1B6WTN3,https://m.media-amazon.com/images/I/71RiAp+yw5L._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Tomorrow 8 am - 12 pm",05-06-2026,11999.0,16999.0,4.2,2964
B0G49YZTTW,"realme NARZO 90 5G (Carbon Black,8GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front &amp; Rear AI Cameras | 4000nits Brightest Display | AI Assist | IP69 Dust &amp; Water Resistance",smartphone,19999,,INR,,4.1,978,1,False,False,True,False,https://www.amazon.in/dp/B0G49YZTTW,https://m.media-amazon.com/images/I/81c-THT67CL._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Today 6 pm - 8 pm",05-06-2026,19999.0,,4.1,978
B0GVYXPZBS,"OnePlus Nord CE6 Lite | 8GB+128GB | Hyper Black | Segment&#x27;s Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment&#x27;s Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording",smartphone,25998,33999,INR,23.50%,4.2,318,1,False,False,False,False,https://www.amazon.in/dp/B0GVYXPZBS,https://m.media-amazon.com/images/I/61T18EfkX0L._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Today 6 pm - 8 pm",05-06-2026,25998.0,33999.0,4.2,318
B0DX6P3RX9,"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",smartphone,13999,,INR,,4.0,2865,1,False,False,False,False,https://www.amazon.in/dp/B0DX6P3RX9,https://m.media-amazon.com/images/I/71vibvcdAlL._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Today 6 pm - 8 pm",05-06-2026,13999.0,,4.0,2865
B0GS97F668,"Pro 10 -Mini 4G Smartphone 4.5&quot; Display | 3GB RAM 32GB Storage (Up to 128GB) | Dual SIM | 2350mAh Battery | Type-C Charging | Android Phone for Travel, Kids &amp; Backup Use | Color as per Stock",smartphone,4999,10990,INR,54.50%,3.0,6,1,False,False,False,False,https://www.amazon.in/dp/B0GS97F668,https://m.media-amazon.com/images/I/41gE4g0QrHL._AC_UY637_QL65_.jpg,"FREE delivery Mon, 8 JunOr fastest delivery Tomorrow, 6 Jun",05-06-2026,4999.0,10990.0,3.0,6
B0F8ZVRLZB,"Samsung Galaxy F06 5G, Lit Voilet (6GB, 128GB)",smartphone,14094,15499,INR,9.10%,4.2,129,12,False,False,False,False,https://www.amazon.in/dp/B0F8ZVRLZB,https://m.media-amazon.com/images/I/51G4GBygGCL._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Tomorrow 8 am - 12 pm",05-06-2026,14094.0,15499.0,4.2,129
B0DYP4NYYJ,"Samsung Galaxy F06 5G, Bahama Blue (4GB, 128GB)",smartphone,12990,13999,INR,7.20%,4.1,823,13,False,False,False,False,https://www.amazon.in/dp/B0DYP4NYYJ,https://m.media-amazon.com/images/I/419elQRZNFL._AC_UY436_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Tomorrow 8 am - 12 pm",05-06-2026,12990.0,13999.0,4.1,823
B0GTQ5X45R,"acerpure Acerone Liquid 4G Smartphone (Blue, 4GB RAM, 64GB Storage) with 6.5&quot; IPS Display, 20MP Rear Camera, 5000mAh Battery, Android 14, Octa-Core MT6765 Processor",smartphone,7999,18900,INR,57.70%,3.4,26,2,False,False,False,False,https://www.amazon.in/dp/B0GTQ5X45R,https://m.media-amazon.com/images/I/411RhleBYqL._AC_UY568_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Tomorrow 8 am - 12 pm",05-06-2026,7999.0,18900.0,3.4,26
B0GS5Y7QBF,"REDMI A7 Pro 5G (Mist Blue, 4GB RAM, 64GB Storage) | Segment&#x27;s Fastest Processor | Segment&#x27;s Largest Battery | Segment&#x27;s Largest &amp; Smoothest 6.9in 120Hz Display",smartphone,12999,15999,INR,18.80%,3.6,569,1,False,False,False,False,https://www.amazon.in/dp/B0GS5Y7QBF,https://m.media-amazon.com/images/I/71eQsL8sqcL._AC_UY654_QL65_.jpg,"FREE delivery Sun, 7 JunOr fastest delivery Today 6 pm - 8 pm",05-06-2026,12999.0,15999.0,3.6,569
