Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price
GE,Model1,619.0,A,Side-by-Side,Smart Connectivity,White,Glass,8.0,Germany,267.0
GE,Model2,309.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,7.0,India,477.0
GE,Model5,371.0,A++,Single Door,Smart Connectivity,Silver,Glass,4.0,Germany,462.0
GE,Model6,288.0,B,Double Door,Smart Connectivity,White,Glass,6.0,USA,1906.0
Siemens,Model7,671.0,A,Single Door,Standard,White,Stainless Steel,4.0,India,940.0
Bosch,Model8,492.0,B,Side-by-Side,Ice Dispenser,Silver,Plastic,5.0,Germany,499.0
GE,Model9,287.0,A+,Side-by-Side,Ice Dispenser,Black,Glass,2.0,India,1097.0
LG,Model10,529.0,B,Side-by-Side,Ice Dispenser,Silver,Glass,3.0,China,1106.0
GE,Model11,647.0,A,Double Door,Smart Connectivity,Gray,Stainless Steel,5.0,India,1438.0
Haier,Model13,342.0,B,Single Door,Smart Connectivity,White,Stainless Steel,6.0,Germany,1990.0
Panasonic,Model16,680.0,A++,Single Door,Standard,Black,Glass,3.0,USA,725.0
Panasonic,Model17,557.0,A,Single Door,Smart Connectivity,Silver,Plastic,9.0,China,1751.0
Panasonic,Model18,224.0,A++,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,USA,1165.0
Haier,Model20,455.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,1.0,China,1079.0
Siemens,Model21,515.0,B,Single Door,Ice Dispenser,Black,Glass,8.0,China,1573.0
Bosch,Model25,477.0,B,Double Door,Smart Connectivity,Black,Plastic,1.0,China,215.0
GE,Model29,692.0,A++,Double Door,Smart Connectivity,Black,Stainless Steel,3.0,Germany,627.0
Bosch,Model31,751.0,B,Side-by-Side,Standard,White,Glass,9.0,Germany,1362.0
GE,Model33,789.0,A++,Side-by-Side,Ice Dispenser,Silver,Plastic,4.0,USA,1349.0
GE,Model34,150.0,A,Side-by-Side,Standard,Silver,Plastic,5.0,China,493.0
Siemens,Model35,365.0,A+,Side-by-Side,Standard,Gray,Glass,3.0,USA,983.0
Panasonic,Model36,149.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,3.0,Germany,887.0
Siemens,Model37,447.0,A,Double Door,Standard,Black,Plastic,6.0,China,762.0
GE,Model38,661.0,A,Side-by-Side,Standard,Black,Plastic,2.0,China,614.0
Siemens,Model39,726.0,B,Single Door,Ice Dispenser,White,Plastic,4.0,India,1939.0
Electrolux,Model40,594.0,A++,Single Door,Smart Connectivity,Gray,Glass,1.0,USA,504.0
Whirlpool,Model41,245.0,B,Side-by-Side,Water Dispenser,White,Glass,6.0,USA,638.0
Samsung,Model43,632.0,B,Single Door,Water Dispenser,Silver,Plastic,9.0,India,1287.0
Bosch,Model45,736.0,B,Single Door,Standard,Silver,Plastic,4.0,USA,1957.0
GE,Model48,327.0,B,Single Door,Standard,White,Plastic,4.0,Germany,360.0
Electrolux,Model49,164.0,A++,Single Door,Standard,White,Glass,5.0,Germany,708.0
Panasonic,Model50,469.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,2.0,USA,701.0
Electrolux,Model51,616.0,A+,Double Door,Smart Connectivity,Black,Glass,5.0,Germany,1926.0
Bosch,Model52,748.0,A++,Side-by-Side,Water Dispenser,Black,Plastic,2.0,China,1300.0
LG,Model54,221.0,B,Side-by-Side,Standard,Gray,Plastic,3.0,India,1923.0
Siemens,Model57,679.0,A+,Single Door,Standard,Silver,Plastic,8.0,China,409.0
LG,Model59,252.0,B,Side-by-Side,Water Dispenser,White,Stainless Steel,8.0,India,680.0
Samsung,Model61,694.0,A++,Side-by-Side,Water Dispenser,Gray,Glass,3.0,India,944.0
GE,Model62,405.0,B,Side-by-Side,Smart Connectivity,Gray,Plastic,1.0,China,1684.0
Frigidaire,Model63,348.0,A,Double Door,Water Dispenser,Black,Glass,6.0,China,1909.0
LG,Model64,420.0,A+,Single Door,Smart Connectivity,Gray,Plastic,3.0,India,823.0
LG,Model69,643.0,A++,Double Door,Water Dispenser,White,Glass,4.0,Germany,1981.0
Electrolux,Model72,301.0,A,Side-by-Side,Ice Dispenser,White,Glass,7.0,India,514.0
Bosch,Model73,223.0,B,Side-by-Side,Ice Dispenser,Black,Plastic,3.0,Germany,1941.0
Siemens,Model78,279.0,A,Double Door,Water Dispenser,Black,Glass,8.0,Germany,1427.0
Samsung,Model79,157.0,B,Side-by-Side,Smart Connectivity,White,Stainless Steel,6.0,India,1208.0
Electrolux,Model80,787.0,B,Single Door,Standard,White,Plastic,9.0,Germany,946.0
Whirlpool,Model81,376.0,B,Single Door,Standard,Silver,Plastic,5.0,USA,1466.0
Whirlpool,Model82,759.0,A,Single Door,Smart Connectivity,White,Glass,7.0,Germany,1898.0
GE,Model83,449.0,A++,Single Door,Water Dispenser,Silver,Stainless Steel,9.0,Germany,927.0
LG,Model84,245.0,B,Single Door,Standard,Gray,Plastic,4.0,India,923.0
Siemens,Model85,221.0,A,Single Door,Ice Dispenser,White,Stainless Steel,2.0,Germany,676.0
Whirlpool,Model86,416.0,A++,Side-by-Side,Standard,Gray,Plastic,2.0,USA,1808.0
Haier,Model87,766.0,B,Double Door,Standard,Gray,Stainless Steel,2.0,USA,1588.0
Frigidaire,Model88,422.0,A,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,India,376.0
Whirlpool,Model89,795.0,A,Double Door,Water Dispenser,Silver,Plastic,1.0,China,1788.0
Electrolux,Model90,750.0,A,Single Door,Smart Connectivity,Silver,Glass,4.0,China,1262.0
GE,Model91,660.0,A++,Side-by-Side,Standard,Silver,Glass,7.0,Germany,1747.0
Siemens,Model92,499.0,A,Double Door,Standard,Gray,Stainless Steel,7.0,China,1703.0
Electrolux,Model93,148.0,A,Side-by-Side,Standard,Silver,Plastic,8.0,USA,377.0
Electrolux,Model97,132.0,B,Single Door,Standard,Gray,Glass,9.0,USA,1744.0
Haier,Model98,191.0,B,Double Door,Ice Dispenser,Gray,Glass,8.0,Germany,1423.0
Whirlpool,Model101,333.0,A+,Side-by-Side,Water Dispenser,White,Glass,3.0,Germany,878.0
Electrolux,Model104,635.0,A+,Double Door,Smart Connectivity,Gray,Plastic,9.0,Germany,937.0
Samsung,Model105,108.0,B,Single Door,Standard,Black,Stainless Steel,9.0,USA,1366.0
Panasonic,Model106,616.0,A+,Single Door,Standard,Black,Glass,6.0,USA,1594.0
Electrolux,Model107,765.0,A+,Double Door,Standard,White,Stainless Steel,3.0,China,1106.0
